V,H,S,M
0.30914151239263293,0.454545,0.0,1
0.2688004768127851,0.454545,0.0,1
0.3225135358741937,0.090909,0.0,1
0.3282169414917364,0.363636,0.0,1
0.2414689443403849,0.181818,0.0,1
0.26093461479413044,0.272727,0.4,1
0.30383521209501857,0.727273,0.0,1
0.29051272222969254,0.636364,0.0,1
0.2994959652748713,0.636364,0.0,1
0.2744086821727926,0.363636,0.0,1
0.3263819392458848,1.0,0.0,1
0.32333375806286846,0.090909,0.0,1
0.3019809209268365,0.363636,0.0,1
0.33381723620904097,0.090909,0.0,1
0.3140252802675614,0.363636,0.0,1
0.27422122611350286,1.0,0.0,1
0.31106252352247493,0.363636,0.0,1
0.27123352197513,0.909091,0.0,1
0.32635350903921817,0.454545,0.0,1
0.2985022226704124,0.727273,0.0,1
0.29445412909364216,0.454545,0.0,1
0.27957211366788176,0.272727,0.0,1
0.3366762401602209,0.818182,0.0,1
0.2953641155379359,1.0,0.0,1
0.2871501653351068,0.272727,0.4,1
0.2894359934853531,0.818182,0.0,1
0.3159692755666004,0.272727,0.0,1
0.31096332193092235,0.727273,0.0,1
0.3123819783478796,0.818182,0.0,1
0.31292463009023647,0.454545,0.0,1
0.3642494280261138,0.727273,0.0,1
0.28780754950846155,0.272727,0.0,1
0.28463271812785385,0.0,0.4,1
0.27558681815256364,0.090909,0.0,1
0.31847938267726483,0.454545,0.0,1
0.33386916878162676,0.909091,0.0,1
0.29658157627035375,0.090909,0.4,1
0.27479530569112415,0.454545,0.0,1
0.2752655635292628,0.727273,0.0,1
0.31951778363474104,0.181818,0.0,1
0.32229762513610327,0.727273,1.0,1
0.3162946280491558,0.272727,0.0,1
0.2800347087813392,0.818182,0.0,1
0.30696483969200156,0.545455,0.0,1
0.30350057427422183,0.545455,0.0,1
0.30656065790187037,0.181818,0.0,1
0.32614286333844567,0.454545,0.0,1
0.30670786646324044,0.909091,0.0,1
0.3203674068921568,0.0,0.0,1
0.30202737208466673,0.818182,0.0,1
0.3086735819606995,0.454545,0.0,1
0.3189386467751562,0.727273,0.0,1
0.25628532540433,0.636364,0.0,1
0.29040986350928094,0.454545,0.4,1
0.2858888203712161,0.272727,0.0,1
0.28083366455269976,0.636364,0.0,1
0.29174573246319946,0.090909,0.0,1
0.34484823933703185,0.636364,0.0,1
0.27402506652920267,0.090909,0.0,1
0.3290483506377444,0.636364,0.0,1
0.24951390685152586,0.636364,0.0,1
0.28995344910042675,0.090909,0.0,1
0.30488259195315015,0.818182,0.0,1
0.31758666994077833,0.363636,0.0,1
0.3213367973937856,0.818182,0.4,1
0.32380041705599777,0.0,0.0,1
0.28953824783254684,0.181818,0.0,1
0.286129446220063,0.454545,0.0,1
0.3257392764377146,0.181818,0.0,1
0.2942608702535515,0.272727,0.0,1
0.26172941029986235,0.636364,0.0,1
0.26600138357989556,0.090909,0.0,1
0.27241643141995164,0.727273,0.0,1
0.3149148223216129,0.090909,0.0,1
0.30427277208211695,0.181818,0.0,1
0.320714560622033,0.636364,0.0,1
0.28718242060990395,0.818182,0.0,1
0.3047561907323014,0.181818,0.0,1
0.3187677118190201,0.272727,0.0,1
0.29071960380839285,1.0,0.0,1
0.3137032571267223,1.0,0.0,1
0.28014222176800047,0.545455,0.4,1
0.28910838460304783,0.454545,0.0,1
0.2885478631800501,0.363636,0.0,1
0.2641248106323288,0.636364,0.0,1
0.31460917442356745,0.636364,0.0,1
0.2859179297939183,0.272727,0.4,1
0.3003748235618306,0.0,0.0,1
0.31442239976717723,0.090909,0.4,1
0.3133959352808983,1.0,0.0,1
0.3472749037381367,0.454545,0.0,2
0.34529720075361137,0.818182,0.0,2
0.30746835783299903,1.0,0.4,2
0.34271469344883626,0.818182,0.4,2
0.3468468499041672,1.0,0.0,2
0.4155242211260176,1.0,1.0,2
0.3963053383384501,0.090909,0.4,2
0.3144026994832354,0.272727,0.0,2
0.33137849915352474,0.727273,0.4,2
0.29609673994488994,0.636364,0.0,2
0.32227878958109546,0.0,1.0,2
0.34946815010771026,0.090909,0.0,2
0.376175608626647,0.545455,0.0,2
0.31812748486769177,0.636364,0.0,2
0.3203756067979661,0.181818,0.4,2
0.2755813291078404,0.181818,0.0,2
0.3351200223836528,0.090909,0.0,2
0.3081275676442131,0.545455,0.0,2
0.3241168171790178,0.0,0.4,2
0.3136941766549724,0.545455,0.0,2
0.3371721233724233,0.454545,0.4,2
0.2872681482593011,0.454545,0.0,2
0.2959886426382703,0.727273,0.0,2
0.403877413360849,0.545455,0.0,2
0.30137732256177907,0.727273,0.0,2
0.30709643264636083,0.818182,0.0,2
0.39510740584963944,1.0,0.4,2
0.42715201507721223,0.818182,0.0,2
0.3048530011352398,0.545455,0.4,2
0.3289525312963591,0.454545,0.0,2
0.3502466665282153,0.181818,0.4,2
0.3918609293321678,0.636364,0.4,2
0.3103942876471529,0.090909,0.4,2
0.3326416646217367,1.0,0.0,2
0.36332012728185237,0.909091,0.4,2
0.3530429822339986,0.090909,0.0,2
0.32871531786309705,0.818182,0.0,2
0.3359853110645188,0.090909,0.0,2
0.29875312574890056,0.727273,0.0,2
0.33285478768076004,0.090909,0.4,2
0.3320083752997314,0.454545,0.0,2
0.3469650966887877,0.636364,0.4,2
0.32334018343542953,0.727273,0.0,2
0.3541461556763542,0.454545,0.4,2
0.37038147453459486,1.0,0.0,2
0.344662879830054,0.818182,0.0,2
0.3505526922519761,0.181818,0.4,2
0.34159466042733605,0.727273,1.0,2
0.3400025317927424,0.727273,0.0,2
0.3183532589937146,0.363636,0.0,2
0.34949482785019925,0.727273,0.0,2
0.33708140204759535,0.909091,0.0,2
0.40279504926791787,0.818182,0.4,2
0.3872006470742573,0.818182,0.4,2
0.35157539657669507,0.636364,0.0,2
0.317108283709157,0.272727,0.0,2
0.3066276558404975,0.818182,0.0,2
0.375734288592666,0.363636,1.0,2
0.3478824767544142,0.545455,0.0,2
0.35440430210174834,0.272727,0.4,2
0.2876624203907743,0.272727,0.0,2
0.36782315444674546,0.090909,0.0,2
0.35363261014643094,1.0,0.0,2
0.3066870794675657,0.090909,0.4,2
0.32585425577650157,0.090909,0.0,2
0.3479115161306956,1.0,0.0,2
0.3415740039506873,0.545455,0.0,2
0.3312348644258934,0.454545,0.0,2
0.33689535195802117,0.727273,0.4,2
0.33244067865379345,0.363636,0.0,2
0.3445768753630741,0.090909,0.0,2
0.38414475918979474,0.727273,0.0,2
0.26300024677206113,0.181818,0.0,2
0.3328944920647095,0.545455,0.0,2
0.34529537264117344,1.0,0.0,2
0.348879819690613,1.0,0.0,2
0.3288425625603613,0.363636,0.0,2
0.28729834652564257,0.818182,0.0,2
0.3498398645114233,0.636364,0.0,2
0.39182050642492555,0.454545,0.0,2
0.2939841578525159,0.090909,0.0,2
0.3659148404109457,0.363636,0.0,2
0.3301442433063132,0.636364,0.0,2
0.3381602696251346,1.0,0.0,2
0.30841304467888153,0.0,0.0,2
0.3299663148293237,0.727273,0.0,2
0.3790013378409688,0.909091,0.0,2
0.3574796572596312,1.0,0.0,2
